"Story","Title","Result","Date","Stability","Duration (s)"
"Banistmo websites","Accessing the Banistmo websites","ERROR","2024-08-23T20:27:28.9189746-05:00[America/Bogota]","0.0","15.22"
"Ingresar a la web de Bancolombia","Descargar pdf","SUCCESS","2024-08-23T22:00:06.1603557-05:00[America/Bogota]","0.0","159.36"
